name,age,overall,potential,diff,hh
Adem Ljajić,29,74,74,0,muture
Kamil Glik,33,72,72,0,muture
Steven Caulker,29,73,73,0,muture
Guido Burgstaller,32,74,74,0,muture
Oliver Baumann,31,83,83,0,muture
Adam Forshaw,29,73,73,0,muture
Teófilo Gutiérrez,36,75,75,0,muture
Jonathan Viera Ramos,31,79,79,0,muture
Nathan Redmond,27,76,76,0,muture
Vincent Aboubakar,29,77,77,0,muture
Marcin Kamiński,29,71,71,0,muture
Lars Unnerstall,30,76,76,0,muture
Ravel Morrison,28,69,69,0,muture
Stefano Sturaro,28,72,72,0,muture
Álvaro González Soberón,31,76,76,0,muture
Robin Knoche,29,75,75,0,muture
Thiago Galhardo Nascimento,31,69,69,0,muture
Manuel Trigueros Muñoz,29,79,79,0,muture
Franco Vázquez,32,76,76,0,muture
André Ramalho Silva,29,75,75,0,muture
Rachid Ghezzal,29,78,78,0,muture
Sebastián Palacios,29,76,76,0,muture
Lucas Romero,27,76,76,0,muture
Maxime Mignon,30,59,59,0,muture
Claudio Torrejón,28,66,66,0,muture
Mario Palomino,27,66,66,0,muture
Nicolás Peranic,36,71,71,0,muture
Wilmar González,27,68,68,0,muture
Jairo Pérez,29,65,65,0,muture
Moisés Galezo,40,64,64,0,muture
Mohamed Buya Turay,26,70,70,0,muture
Klaus Gjasula,31,70,70,0,muture
Christopher Antwi-Adjei,27,70,70,0,muture
Rayane Aabid,29,70,70,0,muture
Oleksiy Shevchenko,29,68,68,0,muture
Eladio Zorrilla Jiménez,30,71,71,0,muture
İbrahim Akdağ,29,66,66,0,muture
Tomáš Hájek,29,65,65,0,muture
Văn Lâm Đăng,27,64,64,0,muture
Luuk de Jong,30,79,79,0,muture
Cristian Tello Herrera,29,79,79,0,muture
Felipe Anderson Pereira Gomes,28,79,79,0,muture
Vladimír Coufal,28,80,80,0,muture
Hatem Ben Arfa,34,75,75,0,muture
João Filipe Moutinho,34,81,81,0,muture
Sebastián Coates,30,83,83,0,muture
Dan Burn,29,77,77,0,muture
Martin Hinteregger,28,79,79,0,muture
Emil Forsberg,29,81,81,0,muture
Hans Hateboer,27,80,80,0,muture
Rade Krunić,27,75,75,0,muture
Sofiane Bendebka,28,70,70,0,muture
Xiang Gao,32,48,48,0,muture
James Belshaw,30,65,65,0,muture
Gerard Piqué Bernabeu,34,84,84,0,muture
Fernando Reges Mouta,33,84,84,0,muture
Alexandre Lacazette,30,82,82,0,muture
Cristian Pavón,25,76,76,0,muture
Kieran Trippier,30,84,84,0,muture
Jordi Alba Ramos,32,84,84,0,muture
Sergio Busquets Burgos,32,84,84,0,muture
Keylor Navas,34,88,88,0,muture
Leandro Trossard,26,79,79,0,muture
Nicolás Tagliafico,28,81,81,0,muture
Andrés Iniesta Luján,37,79,79,0,muture
Giorgio Chiellini,36,85,85,0,muture
David Josué Jiménez Silva,35,84,84,0,muture
Thomas Delaney,29,81,81,0,muture
Stefan de Vrij,29,84,84,0,muture
Julian Draxler,27,79,79,0,muture
Samuel Castillejo Azuaga,26,75,75,0,muture
Geoffrey Kondogbia,28,79,79,0,muture
Raúl Jiménez,30,82,82,0,muture
Paul Ebere Onuachu,27,79,79,0,muture
Kevin De Bruyne,30,91,91,0,muture
Luka Modrić,35,88,88,0,muture
Ángel Di María,33,85,85,0,muture
Rick Karsdorp,26,80,80,0,muture
Leonardo Spinazzola,28,83,83,0,muture
Frank Fabra,30,76,76,0,muture
Héctor Villalba,26,74,74,0,muture
Denis Bouanga,26,75,75,0,muture
Barış Atik,26,71,71,0,muture
Sergen Piçinciol,25,64,64,0,muture
Dimitrios Kolovetsios,29,69,69,0,muture
Harrison Delbridge,29,67,67,0,muture
Kevin Ramírez,26,71,71,0,muture
Fabian Serrarens,30,61,61,0,muture
Lasse Schlüter,29,65,65,0,muture
Ignacio Arce,29,66,66,0,muture
Craig Sibbald,26,64,64,0,muture
Abel Mabaso,30,66,66,0,muture
Paseka Mako,27,68,68,0,muture
Basil Stillhart,27,67,67,0,muture
Josip Vuković,29,69,69,0,muture
Patrick Schmidt,27,66,66,0,muture
Éric Vandenabeele,29,66,66,0,muture
Alexandru Păun,26,69,69,0,muture
José Corpas Serna,29,74,74,0,muture
Ryan Williams,27,65,65,0,muture
Damian Zbozień,32,64,64,0,muture
Nils Röseler,29,66,66,0,muture
Cristiano Pereira Figueiredo,30,65,65,0,muture
Bjarne Thoelke,29,64,64,0,muture
Alexandros Apostolopoulos,29,65,65,0,muture
Dylan McGeouch,28,65,65,0,muture
Molla Wagué,30,68,68,0,muture
Jan Kopic,31,74,74,0,muture
Valeri Qazaishvili,28,72,72,0,muture
Luís Leal dos Anjos,34,67,67,0,muture
Soufian Benyamina,31,63,63,0,muture
Mirko Pigliacelli,28,72,72,0,muture
Anthony Forde,27,63,63,0,muture
James Husband,27,66,66,0,muture
Angus MacDonald,28,66,66,0,muture
Plamen Iliev,29,66,66,0,muture
Vieux Yaya Sané,31,64,64,0,muture
Juhani Ojala,32,65,65,0,muture
Jefté Betancor Sánchez,27,70,70,0,muture
Christophe Vincent,28,64,64,0,muture
Rudy Camacho,30,70,70,0,muture
Simon Falette,29,68,68,0,muture
Jordan Roberts,27,63,63,0,muture
Jason Holt,28,65,65,0,muture
Jamie Walker,28,65,65,0,muture
Mario Sampirisi,28,69,69,0,muture
Kelyn Rowe,29,65,65,0,muture
Ivan Kelava,33,65,65,0,muture
Tom Boere,28,64,64,0,muture
Gavan Holohan,29,61,61,0,muture
Simon Karlsson Adjei,27,61,61,0,muture
Ron Berlinski,26,63,63,0,muture
Jonathan Barden,28,60,60,0,muture
Eneko Undabarrena Ubillos,28,64,64,0,muture
Juan Sánchez Miño,31,72,72,0,muture
Aziz Behich,30,70,70,0,muture
John Verhoek,32,71,71,0,muture
David Juncà Reñé,27,72,72,0,muture
Daryl Horgan,28,66,66,0,muture
Adam Taggart,28,69,69,0,muture
Jordan Graham,26,69,69,0,muture
Benjamin Siegrist,29,69,69,0,muture
Petar Filipović,30,69,69,0,muture
James Jeggo,29,68,68,0,muture
Sam Hoskins,28,65,65,0,muture
Matt Smith,32,66,66,0,muture
Gianluca Korte,30,66,66,0,muture
Yoann Touzghar,34,71,71,0,muture
Martin Kobylański,27,65,65,0,muture
Michael de Leeuw,34,68,68,0,muture
Florin Gardoș,32,63,63,0,muture
Tomer Hemed,34,67,67,0,muture
Luís Carlos Novo Neto,33,77,77,0,muture
Nick Bakker,28,65,65,0,muture
David Andrade,27,65,65,0,muture
Oriol Rosell Argerich,28,68,68,0,muture
Lorenzo Melgarejo,30,73,73,0,muture
Álvaro Vadillo Cifuentes,26,70,70,0,muture
Moritz Bauer,29,71,71,0,muture
Jack Price,28,72,72,0,muture
Luís Hernández Rodríguez,32,72,72,0,muture
Gaston Brugman,28,72,72,0,muture
Ryan Woods,27,69,69,0,muture
Alexander Ring,30,74,74,0,muture
Alejandro Rodríguez Gorrín,27,66,66,0,muture
André Poko,28,69,69,0,muture
Varazdat Haroyan,28,71,71,0,muture
Evan Bush,35,66,66,0,muture
Brad Potts,26,69,69,0,muture
Luke James,26,59,59,0,muture
Leke James,28,71,71,0,muture
Brennan Dickenson,28,61,61,0,muture
Leonard Zuta,28,67,67,0,muture
Olivier Boumal,31,71,71,0,muture
Daniel Steres,30,66,66,0,muture
Timo Letschert,28,69,69,0,muture
Richard Strebinger,28,71,71,0,muture
Abdullah Al Mayoof,34,70,70,0,muture
Lee Angol,26,62,62,0,muture
Cristian Pellerano,39,74,74,0,muture
Arturo Ortíz,28,71,71,0,muture
Ramón Azeez,28,70,70,0,muture
Andrea Schiavone,28,65,65,0,muture
Alejandro Chumacero,30,72,72,0,muture
Caolan Lavery,28,60,60,0,muture
Álejandro Gallar Falguero,29,70,70,0,muture
Tyler Boyd,26,69,69,0,muture
Robert Leipertz,28,68,68,0,muture
Maxime Chanot,31,72,72,0,muture
Jamal Thiaré,28,68,68,0,muture
Francisco Calvo,28,69,69,0,muture
Arthur Caike Do Nascimento Cruz,29,69,69,0,muture
Raúl López,28,73,73,0,muture
Hárrison Mojica,28,67,67,0,muture
Germán Mera,31,71,71,0,muture
William Tesillo,31,75,75,0,muture
Esteban Pavez,31,70,70,0,muture
Juan Delgado,28,69,69,0,muture
Michael Rangel,30,72,72,0,muture
Felipe Campos,27,66,66,0,muture
Jakub Czerwiński,29,70,70,0,muture
Harrison Manzala,27,64,64,0,muture
Lorenzo Faravelli,28,75,75,0,muture
Gabriel Hachen,30,68,68,0,muture
Alejandro Donatti,34,71,71,0,muture
Luciano Lollo,34,68,68,0,muture
Cristiano da Silva,34,72,72,0,muture
Filipe Augusto Carvalho Souza,27,73,73,0,muture
Pedro K. Medina da Silva,31,71,71,0,muture
Leandro Fernández,30,72,72,0,muture
Simon Sandberg,27,66,66,0,muture
Lars Veldwijk,29,70,70,0,muture
Darko Jevtić,28,71,71,0,muture
Francisco Santos Júnior,29,63,63,0,muture
Chang Jin Moon,27,61,61,0,muture
Stefano Beltrame,28,69,69,0,muture
Peter Ankersen,30,70,70,0,muture
Tony Watt,27,68,68,0,muture
Nick Fitzgerald,29,60,60,0,muture
Cosmin Matei,29,65,65,0,muture
Morgan Fox,27,69,69,0,muture
Nawaf Al Abed,31,69,69,0,muture
Drey Wright,26,63,63,0,muture
Per Frick,29,68,68,0,muture
Patrick Wiegers,31,64,64,0,muture
Yahia Al Shehri,31,65,65,0,muture
Florian Tardieu,29,72,72,0,muture
Dorian Dessoleil,28,71,71,0,muture
Joey Pelupessy,28,68,68,0,muture
Rasmus Thelander,29,72,72,0,muture
Björn Jopek,27,64,64,0,muture
Alex De Lima,32,64,64,0,muture
Ahmed Hassan,28,73,73,0,muture
Michael Duffy,26,66,66,0,muture
Renato Augusto Santos Júnior,28,68,68,0,muture
Thomas Murg,26,72,72,0,muture
Juan Pablo Vigón,29,75,75,0,muture
Francisco Sol Ortiz,29,72,72,0,muture
Andreas Kuen,26,69,69,0,muture
João Felipe Schmidt Urbano,28,71,71,0,muture
Luca Zuffi,31,67,67,0,muture
Júlio Carolino Tavares,32,74,74,0,muture
Alhaji Kamara,27,68,68,0,muture
Julián Velázquez,30,72,72,0,muture
Pablo De Blasis,33,71,71,0,muture
Alejandro Vallejo Mínguez,29,66,66,0,muture
Elson Ferreira de Souza,31,67,67,0,muture
Marko Poletanović,27,66,66,0,muture
Earl Edwards Jr.,29,61,61,0,muture
Salvador Ichazo,29,67,67,0,muture
Pål Alexander Kirkevold,30,64,64,0,muture
Christopher Ikonomidis,26,70,70,0,muture
Alexis Castro,26,74,74,0,muture
Pritam Kotal,27,61,61,0,muture
Prabir Das,27,60,60,0,muture
Daniel Cardoso,32,69,69,0,muture
Jorge Ortiz Mendoza,29,66,66,0,muture
Marc Roberts,30,70,70,0,muture
Łukasz Sekulski,30,66,66,0,muture
Hicham Faik,29,71,71,0,muture
Paulão Paulo Junqueiras Couto,21,71,71,0,muture
Raheem Edwards,25,66,66,0,muture
Bryan Olivera,27,67,67,0,muture
Moisés Corozo,28,67,67,0,muture
Leonel Quiñonez,28,69,69,0,muture
Roberto Garcés,27,65,65,0,muture
Jeison Chalá,26,66,66,0,muture
Carlos Beltrán,30,64,64,0,muture
Pablo Lavandeira,31,67,67,0,muture
Hugo Dorrego,28,68,68,0,muture
Matěj Hybš,28,68,68,0,muture
Dejan Radonjic,30,61,61,0,muture
Roman Kerschbaum,27,67,67,0,muture
Matej Jonjić,30,74,74,0,muture
Jason Berthomier,31,74,74,0,muture
Thembinkosi Lorch,27,73,73,0,muture
Nico Antonitsch,29,66,66,0,muture
Andrey Lunev,29,77,77,0,muture
Anderson José Lopes de Souza,27,69,69,0,muture
Melvin Luan Parrela Porfírio,21,79,79,0,muture
Tony Josimar Abranjes Meneses,33,80,80,0,muture
G. Pierre Paiva Souza,25,78,78,0,muture
Fred Claudinei Tófoli Vilela,33,78,78,0,muture
Carlos de Pena,29,74,74,0,muture
Bubacarr Trawally,26,69,69,0,muture
Oualid El Hajjam,30,72,72,0,muture
Salvador Sánchez Ponce,30,76,76,0,muture
A. Benjamin Chiamuloira Paes,21,78,78,0,muture
Dimitri Liénard,33,75,75,0,muture
Filip Stojković,28,73,73,0,muture
Maximiliano Olivera,29,71,71,0,muture
Nicolás Reniero,26,70,70,0,muture
Kingsley Schindler,27,69,69,0,muture
Emre Kılınç,26,72,72,0,muture
Carlos Daniel López Huesca,31,73,73,0,muture
Kaveh Rezaei,29,70,70,0,muture
Elías Aguilar,29,72,72,0,muture
David Andújar Jiménez,29,65,65,0,muture
Giovanni Zarfino,29,68,68,0,muture
Mateusz Cholewiak,31,64,64,0,muture
Yukiya Sugita,28,65,65,0,muture
Ahmed Awad,29,58,58,0,muture
Amir Sâyoud,30,72,72,0,muture
Amar Rahmanović,27,66,66,0,muture
Michal Škvarka,28,65,65,0,muture
Mattia Sprocati,27,64,64,0,muture
Alexandre Mendy,27,70,70,0,muture
Omar Al Somah,32,76,76,0,muture
Khaled Narey,26,74,74,0,muture
Sidcley Ferreira Pereira,28,74,74,0,muture
Haris Hajradinović,27,74,74,0,muture
Simon Deli,29,74,74,0,muture
Victor Martin Maia Padilha,25,77,77,0,muture
Faïz Selemani,27,73,73,0,muture
Youssoufou Niakaté,28,70,70,0,muture
Ömer Toprak,31,77,77,0,muture
Roman Bürki,30,79,79,0,muture
Wilfried Bony,32,72,72,0,muture
Eliaquim Mangala,30,73,73,0,muture
Jannik Vestergaard,28,75,75,0,muture
Jean-Paul Boëtius,27,75,75,0,muture
Ryan Fraser,27,77,77,0,muture
Fabian Schär,29,77,77,0,muture
Janik Haberer,27,73,73,0,muture
George Honeyman,26,71,71,0,muture
Dakonam Djené,29,80,80,0,muture
Enner Valencia,31,75,75,0,muture
Mario Pašalić,26,80,80,0,muture
Arda Turan,34,69,69,0,muture
Steve Mandanda,36,79,79,0,muture
Andrés Guardado,34,78,78,0,muture
Éver Banega,33,82,82,0,muture
Makoto Hasebe,37,75,75,0,muture
Ricardo Rodríguez,28,74,74,0,muture
Willian José da Silva,29,78,78,0,muture
Luis Miguel Afonso Fernandes,31,79,79,0,muture
Jed Wallace,27,74,74,0,muture
Sofiane Boufal,27,77,77,0,muture
Domingo Blanco,26,75,75,0,muture
Lei Wu,29,75,75,0,muture
Jae Sung Lee,28,76,76,0,muture
Jonathan Rodríguez Menéndez,29,75,75,0,muture
Adam Masina,27,74,74,0,muture
Alexandru Mitriță,26,74,74,0,muture
Robert Glatzel,27,72,72,0,muture
Christoph Zimmermann,28,70,70,0,muture
Luvannor de Sousa Silva,31,69,69,0,muture
Savvas Siatravanis,28,61,61,0,muture
Herbert Bockhorn,26,69,69,0,muture
Lucas Rodrigues M. Silva,28,81,81,0,muture
Miguel Almirón,27,78,78,0,muture
Juan Cuadrado,33,83,83,0,muture
Jordan Veretout,28,80,80,0,muture
Tiemoué Bakayoko,26,76,76,0,muture
Wout Weghorst,28,80,80,0,muture
Steven Berghuis,29,82,82,0,muture
Marcel Sabitzer,27,81,81,0,muture
Lucas Ocampos,26,82,82,0,muture
Gianluigi Buffon,43,80,80,0,muture
Radja Nainggolan,33,78,78,0,muture
Mario Götze,29,81,81,0,muture
Radamel Falcao García Zarate,35,78,78,0,muture
Alexandre Rodrigues da Silva,31,72,72,0,muture
Luis Muriel,30,82,82,0,muture
Michy Batshuayi,27,77,77,0,muture
Rafael A. Ferreira Silva,28,82,82,0,muture
Dávid Sigér,30,69,69,0,muture
Kevin Dawson,29,72,72,0,muture
Kasim Rabihic,28,67,67,0,muture
Damon Bansais,27,62,62,0,muture
Gernot Trauner,29,78,78,0,muture
Sergi Darder Moll,27,81,81,0,muture
Mitchell Duke,30,67,67,0,muture
Kerem Demirbay,27,81,81,0,muture
Ander Capa Rodríguez,29,80,80,0,muture
Joaquín Sánchez Rodríguez,39,81,81,0,muture
André-Pierre Gignac,35,81,81,0,muture
Jan Vertonghen,34,81,81,0,muture
Juan Guilherme Nunes Jesus,30,74,74,0,muture
Jack Butland,28,73,73,0,muture
Alassane Plea,28,78,78,0,muture
Philipp Max,27,78,78,0,muture
Kevin Kampl,30,80,80,0,muture
Tom Lawrence,27,72,72,0,muture
Borja Iglesias Quintás,28,80,80,0,muture
Cornel Râpă,31,66,66,0,muture
Benjamin Stokke,30,60,60,0,muture
Joe Newell,28,68,68,0,muture
Elton Monteiro Almada,27,62,62,0,muture
Cristian Battocchio,29,66,66,0,muture
David Mitov Nilsson,30,66,66,0,muture
Jin Ho Sin,32,71,71,0,muture
Kyo Won Han,31,70,70,0,muture
Kee Hee Kim,31,69,69,0,muture
Joe Day,30,63,63,0,muture
Anthony Stewart,28,67,67,0,muture
Héber Araújo dos Santos,29,68,68,0,muture
Dan Potts,27,67,67,0,muture
Luke Norris,28,62,62,0,muture
Lawrence Thomas,29,69,69,0,muture
Danny Rose,27,62,62,0,muture
David Pavelka,30,72,72,0,muture
José Ángel Jurado de la Torre,29,64,64,0,muture
Ahmad Benali,29,71,71,0,muture
Aron Jóhannsson,29,68,68,0,muture
Aaron Pierre,28,64,64,0,muture
Tom Nichols,27,64,64,0,muture
Christian Sørensen,28,66,66,0,muture
Stelios Kitsiou,27,72,72,0,muture
Nicky Devlin,27,66,66,0,muture
Ryan Jackson,30,63,63,0,muture
Jeron Al-Hazaimeh,29,63,63,0,muture
Chris Kane,26,62,62,0,muture
José Elber Pimentel da Silva,29,71,71,0,muture
Joel Allansson,28,62,62,0,muture
Ibrahim Šehić,32,73,73,0,muture
Aleksandar Trajkovski,28,69,69,0,muture
Benjamin van Leer,29,65,65,0,muture
George Saville,28,71,71,0,muture
Deji Oshilaja,28,64,64,0,muture
Cuco Martina,31,66,66,0,muture
Rafael Guimarães Lopes,29,67,67,0,muture
Philipp Hosiner,32,66,66,0,muture
Grant Hall,29,68,68,0,muture
Mehdi Jeannin,30,64,64,0,muture
Kalidou Koulibaly,30,86,86,0,muture
N'Golo Kanté,30,90,90,0,muture
Antoine Griezmann,30,85,85,0,muture
Tyrone Mings,28,78,78,0,muture
Memphis Depay,27,85,85,0,muture
Anas Edathodika,34,55,55,0,muture
Lucas Röser,27,63,63,0,muture
Omar Bugiel,27,62,62,0,muture
Rajko Rep,31,67,67,0,muture
Cristian Ganea,28,71,71,0,muture
Christian Gebauer,27,68,68,0,muture
Patryk Kun,26,68,68,0,muture
Adnan Kovačević,27,69,69,0,muture
Mostafa Fathi,27,72,72,0,muture
Robert Taylor,26,66,66,0,muture
Sebastian Jakubiak,28,64,64,0,muture
Cyril Mandouki,29,69,69,0,muture
Álvaro Negredo Sánchez,35,78,78,0,muture
Etienne Capoue,32,79,79,0,muture
Fernando Muslera,35,80,80,0,muture
Jack Rodwell,30,67,67,0,muture
Nicolás Gaitán,33,72,72,0,muture
Yannick Bolasie,32,71,71,0,muture
Salomón Rondón,31,75,75,0,muture
Grzegorz Krychowiak,31,80,80,0,muture
Matěj Vydra,29,73,73,0,muture
Sebastian Rode,30,77,77,0,muture
Ciprian Tătărușanu,35,76,76,0,muture
Salif Sané,30,74,74,0,muture
Alex Pritchard,28,69,69,0,muture
Zinho Gano,27,70,70,0,muture
Mickaël Barreto,30,69,69,0,muture
Kerim Frei,27,70,70,0,muture
Ioannis Gelios,29,69,69,0,muture
Pape Maly Diamanka,30,67,67,0,muture
Tom Beugelsdijk,30,67,67,0,muture
Renzo Revoredo,35,65,65,0,muture
Mauricio Pereyra,31,74,74,0,muture
João Carlos Reis Graça,31,72,72,0,muture
Renato Ibarra,30,74,74,0,muture
Mamadou Koné,29,65,65,0,muture
Filip Kiss,30,73,73,0,muture
Rachid Alioui,29,69,69,0,muture
Naïm Sliti,28,75,75,0,muture
Jack Baldwin,28,64,64,0,muture
Valerio Verre,27,73,73,0,muture
Dener Gomes Clemente,29,72,72,0,muture
Luciano Abecasis,31,67,67,0,muture
Lucas Castro,32,72,72,0,muture
Luís Carlos Ramos Martins,29,68,68,0,muture
Manuel Pucciarelli,30,66,66,0,muture
Leonardo Carrilho Baptistão,27,78,78,0,muture
Kalifa Coulibaly,29,70,70,0,muture
Timothée Dieng,29,65,65,0,muture
Luciano Aued,34,73,73,0,muture
Stefano Sabelli,28,70,70,0,muture
Ollie Norburn,28,67,67,0,muture
Juan Cruz Álvaro Armada,28,74,74,0,muture
Pedro Bigas Rigo,30,72,72,0,muture
Hannes Þór Halldórsson,37,64,64,0,muture
Joe Pigott,27,65,65,0,muture
Stef Peeters,29,72,72,0,muture
Matt Hedges,31,72,72,0,muture
Franco Fragapane,28,73,73,0,muture
Simon Tibbling,26,67,67,0,muture
Constantin Budescu,32,71,71,0,muture
Joel Tagueu,27,72,72,0,muture
Sérgio Antônio Soler Oliveira Jr,27,70,70,0,muture
Quentin Lecoeuche,27,66,66,0,muture
Erik Janža,28,68,68,0,muture
Franck Kom,29,68,68,0,muture
Sabin Merino Zuloaga,29,69,69,0,muture
Lorenzo Andrenacci,26,63,63,0,muture
Adrián Arregui,28,70,70,0,muture
Nik Omladič,31,67,67,0,muture
Juan David Muriel,32,64,64,0,muture
Lucas Gamba,34,74,74,0,muture
Khiry Shelton,28,65,65,0,muture
Alex Bono,27,66,66,0,muture
Ricardo Blanco,30,67,67,0,muture
Ali Al Nemer,29,59,59,0,muture
Abdulfatah Adam,26,63,63,0,muture
Theerathon Bunmathan,31,70,70,0,muture
Douglas Chagas Matos,33,71,71,0,muture
Florin Purece,29,63,63,0,muture
Yuki Kagawa,28,64,64,0,muture
Keita Nakamura,28,65,65,0,muture
Miiko Albornoz,30,69,69,0,muture
Rhyan Grant,30,71,71,0,muture
Paul Lasne,32,73,73,0,muture
Luke Garbutt,28,68,68,0,muture
Luciano Narsingh,30,70,70,0,muture
Andreu Fontàs Prat,31,71,71,0,muture
Romaine Sawyers,29,71,71,0,muture
Maxime Lestienne,29,71,71,0,muture
Kevin Vogt,29,76,76,0,muture
Sebastian Jung,31,68,68,0,muture
Fabian Klos,33,71,71,0,muture
Carlos Eduardo de Oliveira Alves,31,76,76,0,muture
Alan Pulido,30,72,72,0,muture
Wes Foderingham,30,72,72,0,muture
Ömer Bayram,29,68,68,0,muture
Filip Kurto,30,67,67,0,muture
Vid Belec,31,70,70,0,muture
Nicolás Colazo,30,69,69,0,muture
Francisco Portillo Soler,31,72,72,0,muture
Christoph Moritz,31,67,67,0,muture
Kevin Long,30,71,71,0,muture
David Davis,30,66,66,0,muture
John Marquis,29,65,65,0,muture
Jayden Stockley,27,66,66,0,muture
Giovanni Moreno,35,75,75,0,muture
Serdar Gürler,29,73,73,0,muture
Josepmir Ballón,33,70,70,0,muture
Aldo Corzo,32,70,70,0,muture
Marlon Pack,30,70,70,0,muture
Darryl Lachman,31,66,66,0,muture
Miguel Ángel Guerrero Martín,30,69,69,0,muture
Steven Beitashour,34,67,67,0,muture
Isaac Cofie,29,70,70,0,muture
Trent Sainsbury,29,72,72,0,muture
Antonio Luna Rodriguez,30,68,68,0,muture
Bryan Dabo,29,70,70,0,muture
Amir Abrashi,31,69,69,0,muture
Pablo Chavarría,33,70,70,0,muture
Taulant Xhaka,30,71,71,0,muture
Konstantinos Lamprou,29,69,69,0,muture
Ezequiel Cirigliano,28,66,66,0,muture
Marco Bizot,30,76,76,0,muture
Michael Ortega,30,64,64,0,muture
Graeme Shinnie,29,70,70,0,muture
Richard Smallwood,30,67,67,0,muture
Gaëtan Bussmann,30,66,66,0,muture
Scott Allan,29,65,65,0,muture
Andrea La Mantia,30,70,70,0,muture
Nicklas Helenius,30,68,68,0,muture
Ellis Harrison,27,64,64,0,muture
Lloyd Isgrove,28,65,65,0,muture
Eddy Gnahoré,27,68,68,0,muture
Chris Löwe,32,69,69,0,muture
Liridon Krasniqi,29,61,61,0,muture
Iván Balliu,29,74,74,0,muture
Ousseynou Cissé,30,60,60,0,muture
Anass Achahbar,27,64,64,0,muture
Yannick Stark,30,69,69,0,muture
Adam Jackson,27,64,64,0,muture
Darío Lezcano,31,75,75,0,muture
Cristian Herrera Pérez,30,68,68,0,muture
Sander van de Streek,28,71,71,0,muture
Rhys Bennett,29,62,62,0,muture
Toni Leistner,30,70,70,0,muture
Dieumerci Ndongala,30,70,70,0,muture
Guillermo Fernández Hierro,28,66,66,0,muture
David Ferreiro Quiroga,33,70,70,0,muture
Hillal Soudani,33,73,73,0,muture
Filip Novák,31,73,73,0,muture
Enzio Boldewijn,28,62,62,0,muture
Curtis Thompson,27,66,66,0,muture
Reece Hall-Johnson,26,63,63,0,muture
Stefan Savić,27,64,64,0,muture
Denys Garmash,31,73,73,0,muture
Yunis Abdelhamid,33,76,76,0,muture
Franck Boli,27,71,71,0,muture
Max Crocombe,27,60,60,0,muture
Felipe Martins,30,67,67,0,muture
Gōtoku Sakai,30,70,70,0,muture
Mehdi Zeffane,29,69,69,0,muture
Jordan Botaka,28,68,68,0,muture
Petros Mantalos,29,77,77,0,muture
Ryan Sanusi,29,68,68,0,muture
Dingyang Zhou,27,69,69,0,muture
Dominik Furman,28,67,67,0,muture
Marc Lais,30,63,63,0,muture
Johan Gastien,33,76,76,0,muture
Alassane Ndiaye,30,62,62,0,muture
Alexander Mühling,28,70,70,0,muture
Stefano Magnasco,28,68,68,0,muture
Barrie McKay,26,71,71,0,muture
Ernesto Gomez Muñoz,26,66,66,0,muture
Mohamed Benkhemassa,27,68,68,0,muture
Hernán Novick,32,69,69,0,muture
Ignacio Don,39,64,64,0,muture
Christian Cueva,29,74,74,0,muture
Carlos Izquierdoz,32,78,78,0,muture
Pablo Pérez,35,72,72,0,muture
Guido Carrillo,30,71,71,0,muture
David Jason Remeseiro Salgueiro,26,73,73,0,muture
Youssouf Sabaly,28,76,76,0,muture
Joseba Zaldúa Bengoetxea,29,77,77,0,muture
Assan Ceesay,27,66,66,0,muture
Lovre Kalinić,31,73,73,0,muture
Nikola Vukčević,29,74,74,0,muture
Moussa Doumbia,26,68,68,0,muture
Walter Bou,27,75,75,0,muture
Pedro Gallese,31,75,75,0,muture
Mauricio Martínez,28,72,72,0,muture
Vital Nsimba,27,72,72,0,muture
Raphael William Anjos Rochedo,33,82,82,0,muture
Emre Akbaba,28,73,73,0,muture
Takeshi Kanamori,27,64,64,0,muture
Riki Harakawa,27,69,69,0,muture
Lucas Höler,26,73,73,0,muture
Júnior Moreno,27,70,70,0,muture
Francisco Grahl,29,67,67,0,muture
Cory Burke,29,68,68,0,muture
Ricardo Ryller Ribeiro Lino Silva,27,70,70,0,muture
Luke Hannant,27,60,60,0,muture
Vincent Pule,29,72,72,0,muture
Kevin Behrens,30,71,71,0,muture
Kai Pröger,29,69,69,0,muture
Petr Ševčík,27,77,77,0,muture
Oumar Niasse,31,68,68,0,muture
Rubén Sobrino Pozuelo,29,74,74,0,muture
Marcos Júnior Lima dos Santos,28,72,72,0,muture
Djavan Anderson,26,65,65,0,muture
Renaud Ripart,28,74,74,0,muture
Kevin Wimmer,28,69,69,0,muture
Paolo Faragò,28,67,67,0,muture
Reece James,27,67,67,0,muture
Alexander Scholz,28,75,75,0,muture
Kasper Junker,27,73,73,0,muture
Juan Ramírez,28,74,74,0,muture
Lucas Janson,26,75,75,0,muture
Duncan Watmore,27,68,68,0,muture
Helibelton Palacios,28,73,73,0,muture
Nicolás Orsini,26,72,72,0,muture
Alessandro Schöpf,27,71,71,0,muture
Ulrik Saltnes,28,74,74,0,muture
Yoann Barbet,28,71,71,0,muture
Leonel Vangioni,34,74,74,0,muture
Jamille Matt,31,65,65,0,muture
Javier López,26,70,70,0,muture
Donald Love,26,61,61,0,muture
Abderrazak Hamdallah,30,77,77,0,muture
Emmanuel Mas,32,71,71,0,muture
Lucas Villafañez,29,72,72,0,muture
Nikola Maksimović,29,72,72,0,muture
Leonardo Gil,30,74,74,0,muture
Kayden Jackson,27,63,63,0,muture
